English (Chat-GPT v1),English (Chat-GPT v2),English,Turkish,Swedish,Farsi,Hindi
,,He must sign the customs form now.,Gümrük formunu şimdi imzalaması gerekiyor.,Han måste skriva under tullformuläret nu.,,
,,He has to leave his car in the parking.,Arabasını otoparka bırakmak zorunda.,Han måste lämna sin bil på parkeringen.,,
,,She must put her laptop in the tray.,Laptopunu tepsiye koymalı.,Hon måste lägga sin laptop i brickan.,,
,,Does she have to buy a ticket for the baby?,Bebek için bir bilet almak zorunda mı?,Måste hon köpa en biljett till barnet?,,
,,We must follow the emergency exit lights.,Acil çıkış ışıklarını takip etmeliyiz.,Vi måste följa nödutgångsskyltarna.,,
,,We have to wait for the doors to open.,Kapıların açılmasını beklememiz gerekiyor.,Vi måste vänta på att dörrarna ska öppnas.,,
,,They must have a valid ticket for the journey.,Yolculuk için geçerli bir biletleri olmalı.,De måste ha en giltig biljett för resan.,,
,,They have to take the shuttle to the terminal.,Servisle terminale gitmeleri gerekiyor.,De måste ta skytteln till terminalen.,,
,,I must find a luggage cart for my bags.,Çantalarım için bir bagaj arabası bulmalıyım.,Jag måste hitta en bagagevagn till mina väskor.,,
,,You have to keep your boarding pass until the end.,Biniş kartınızı sonuna kadar saklamanız gerekiyor.,Du måste behålla ditt boardingkort till slutet.,,
,,You drank three glasses of water after the run.,Koşudan sonra üç bardak su içtin.,Du drack tre glas vatten efter löpturen.,,
,,He came home very late from the office.,Ofisten eve çok geç geldi.,Han kom hem väldigt sent från kontoret.,,
,,He brought some fresh flowers for his mother.,Annesine taze çiçekler getirdi.,Han tog med sig några färska blommor till sin mamma.,,
,,She gave me an interesting book to read.,Bana okumam için ilginç bir kitap verdi.,Hon gav mig en intressant bok att läsa.,,
,,She took the early train to the city.,Erken trenle şehre gitti.,Hon tog det tidiga tåget till staden.,,
,,We had a wonderful time at the wedding.,Düğünde harika zaman geçirdik.,Vi hade en underbar tid på bröllopet.,,
,,We sat on the grass in the quiet park.,Sakin parkta çimlere oturduk.,Vi satt på gräset i den tysta parken.,,
,,They stood in the long queue for an hour.,Uzun kuyrukta bir saat beklediler.,De stod i den långa kön i en timme.,,
,,They spoke to the manager about the problem.,Müdürle sorun hakkında konuştular.,De talade med chefen om problemet.,,
,,I broke my favorite coffee mug this morning.,Bu sabah en sevdiğim kahve kupamı kırdım.,Jag hade sönder min favoritkaffemugg i morse.,,
,,I chose a blue shirt for the interview.,Mülakat için mavi bir gömlek seçtim.,Jag valde en blå skjorta för intervjun.,,
,,You felt very tired after the long flight.,Uzun uçuştan sonra çok yorgun hissettiniz.,Du kände dig väldigt trött efter den långa flygningen.,,
,,You found your lost keys under the sofa.,Kayıp anahtarlarını kanepenin altında buldun.,Du hittade dina borttappade nycklar under soffan.,,
,,He forgot his umbrella on the school bus.,Okul otobüsünde şemsiyesini unuttu.,Han glömde sitt paraply på skolbussen.,,
,,He kept the secret for many years.,Sırrı yıllarca sakladı.,Han höll hemligheten i många år.,,
,,She knew the answer to every question.,Her sorunun cevabını biliyordu.,Hon visste svaret på varje fråga.,,
,,She made a large loaf of bread for us.,O bizim için büyük bir somun ekmek yaptı.,Hon bakade en stor limpa bröd åt oss.,,
,,We met our old friends at the cafe.,Kafede eski arkadaşlarımızla buluştuk.,Vi träffade våra gamla vänner på kaféet.,,
,,We paid for the meal with a credit card.,Yemeği kredi kartıyla ödedik.,Vi betalade för måltiden med ett kreditkort.,,
,,They ran five miles before the sun rose.,Güneş doğmadan önce beş mil koştular.,De sprang fem miles innan solen gick upp.,,
,,They sent a long letter to their family.,Ailelerine uzun bir mektup gönderdiler.,De skickade ett långt brev till sin familj.,,
,,I slept for ten hours last Saturday night.,Geçen Cumartesi gecesi on saat uyudum.,Jag sov i tio timmar i lördags natt.,,
,,I thought about the problem all day.,Bütün gün sorun üzerinde düşündüm.,Jag tänkte på problemet hela dagen.,,
,,You understood the lesson very well.,Dersi çok iyi anladınız.,Du förstod lektionen mycket väl.,,
,,You wrote a poem in your notebook.,Defterine bir şiir yazdın.,Du skrev en dikt i din anteckningsbok.,,
,,He told me a funny story yesterday.,Dün bana komik bir hikaye anlattı.,Han berättade en rolig historia för mig igår.,,
,,He read the entire newspaper in the morning.,Sabah gazetenin tamamını okudu.,Han läste hela tidningen på morgonen.,,
,,She sang a beautiful song at the party.,O partide güzel bir şarkı söyledi.,Hon sjöng en vacker sång på festen.,,
,,She swam in the cold lake last summer.,Geçen yaz soğuk gölde yüzdü.,Hon simmade i den kalla sjön förra sommaren.,,
,,We spent all our money at the mall.,Tüm paramızı AVM'de harcadık.,Vi gjorde av med alla våra pengar på gallerian.,,
,,We told the truth to the police officer.,Polis memuruna gerçeği söyledik.,Vi berättade sanningen för polisen.,,
,,They bought a new car last month.,Geçen ay yeni bir araba satın aldılar.,De köpte en ny bil förra månaden.,,
,,They grew many vegetables in their garden.,Bahçelerinde çok sebze yetiştirdiler.,De odlade många grönsaker i sin trädgård.,,
,,I became a teacher three years ago.,Üç yıl önce öğretmen oldum.,Jag blev lärare för tre år sedan.,,
,,I began my new project last Monday.,Geçen Pazartesi yeni projeme başladım.,Jag började mitt nya projekt förra måndagen.,,
,,You blew out the candles on the cake.,Pastadaki mumları söndürdün.,Du blåste ut ljusen på tårtan.,,
,,You built a tall tower with the blocks.,Bloklarla uzun bir kule kurdun.,Du byggde ett högt torn med klossarna.,,
,,He caught a big fish in the river.,Nehirde büyük bir balık yakaladı.,Han fångade en stor fisk i floden.,,
,,He drew a picture of his house.,Evinin bir resmini çizdi.,Han ritade en bild av sitt hus.,,
,,She drove her car to the mountains.,Arabasını dağlara sürdü.,Hon körde sin bil till bergen.,,
,,She fell down on the wet floor.,Islak zemine düştü.,Hon föll ner på det våta golvet.,,
,,We flew to Japan for our vacation.,Tatilimiz için Japonya'ya uçtuk.,Vi flög till Japan för vår semester.,,
,,We heard a strange noise in the night.,Gece garip bir ses duyduk.,Vi hörde ett konstigt ljud i natten.,,
,,They hid the gold in a secret place.,Altını gizli bir yere sakladılar.,De gömde guldet på ett hemligt ställe.,,
,,They lost their way in the dark forest.,Karanlık ormanda yollarını kaybettiler.,De gick vilse i den mörka skogen.,,
,,I sold my old bicycle to a neighbor.,Eski bisikletimi bir komşuya sattım.,Jag sålde min gamla cykel till en granne.,,
,,You won the first prize in the contest.,Yarışmada birincilik ödülünü kazandın.,Du vann förstapriset i tävlingen.,,
,,I walked to the quiet park yesterday afternoon.,Dün öğleden sonra sessiz parka yürüdüm.,Jag gick till den tysta parken igår eftermiddag.,,
,,I cleaned my entire kitchen before dinner.,Akşam yemeğinden önce tüm mutfağımı temizledim.,Jag städade hela mitt kök innan middagen.,,
,,You talked to the manager about the unclear schedule.,Müdürle belirsiz program hakkında konuştun.,Du pratade med chefen om det otydliga schemat.,,
,,You played tennis and felt relaxed afterward.,Tenis oynadın ve sonrasında rahatladın.,Du spelade tennis och kände dig avslappnad efteråt.,,
,,He cooked a meal of rice and vegetables.,Pilav ve sebzeli bir yemek pişirdi.,Han lagade en måltid med ris och grönsaker.,,
,,He brushed his teeth before bed as usual.,Her zamanki gibi yatmadan önce dişlerini fırçaladı.,Han borstade tänderna som vanligt innan han lade sig.,,
,,She visited her grandmother last weekend.,Geçen hafta sonu büyükannesini ziyaret etti.,Hon besökte sin mormor förra helgen.,,
,,She painted a landscape even though it was difficult.,Zor olmasına rağmen bir manzara resmi yaptı.,Hon målade ett landskap trots att det var svårt.,,
,,We finished the project early and reviewed it.,Projeyi erken bitirdik ve gözden geçirdik.,Vi avslutade projektet tidigt och granskade det.,,
,,We danced at the wedding until midnight.,Düğünde gece yarısına kadar dans ettik.,Vi dansade på bröllopet till midnatt.,,
,,They worked in the garden and talked together.,Bahçede birlikte çalışıp konuştular.,De arbetade i trädgården och pratade tillsammans.,,
,,They watched a movie last night and enjoyed it.,Dün gece bir film izlediler ve keyif aldılar.,De såg en film igår kväll och gillade den.,,
,,I started a new exercise routine on Monday.,Pazartesi günü yeni bir egzersiz rutinine başladım.,Jag började en ny träningsrutin i måndags.,,
,,I washed my car after the rain stopped.,Yağmur durduktan sonra arabamı yıkadım.,Jag tvättade min bil efter att regnet slutat.,,
,,You waited for the bus for twenty minutes.,Yirmi dakika otobüsü bekledin.,Du väntade på bussen i tjugo minuter.,,
,,You used a blue pen to sign the paper.,Kağıdı imzalamak için mavi bir kalem kullandınız.,Du använde en blå penna för att skriva under pappret.,,
,,He repaired the broken chair by himself.,Kırık sandalyeyi kendisi tamir etti.,Han lagade den trasiga stolen själv.,,
,,He climbed the hill to see the sunset.,Gün batımını görmek için tepeye tırmandı.,Han klättrade uppför kullen för att se solnedgången.,,
,,She opened the window to let in fresh air.,Pencereyi temiz hava almak için açtı.,Hon öppnade fönstret för att få frisk luft.,,
,,She closed the store at eight o'clock.,Mağazayı saat sekizde kapattı.,Hon stängde butiken klockan åtta.,,
,,We listened to the radio and discussed the news.,Radyo dinledik ve haberleri tartıştık.,Vi lyssnade på radion och diskuterade nyheterna.,,
,,We shared a bowl of fruit for lunch.,Öğle yemeğinde bir kase meyve paylaştık.,Vi delade en skål frukt till lunch.,,
,,They moved their furniture to the new house.,Mobilyalarını yeni eve taşıdılar.,De flyttade sina möbler till det nya huset.,,
,,They smiled for the photo when it was ready.,Fotoğraf hazır olduğunda gülümsediler.,De log för fotot när det var klart.,,
,,I helped my neighbor with his heavy bags.,Komşuma ağır çantalarını taşımasında yardım ettim.,Jag hjälpte min granne med hans tunga väskor.,,
,,I pushed the door open with my shoulder.,Kapıyı omzumla iterek açtım.,Jag knuffade upp dörren med axeln.,,
,,You pulled the curtain to block the sun.,Güneşi kesmek için perdeyi çektin.,Du drog för gardinen för att blockera solen.,,
,,You checked the clock because you were nervous.,Saate baktın çünkü gergindin.,Du kollade klockan eftersom du var nervös.,,
,,He saved some money for his vacation.,Tatili için biraz para biriktirdi.,Han sparade lite pengar för sin semester.,,
,,He jumped over the stream to stay dry.,Kuru kalmak için derenin üzerinden atladı.,Han hoppade över bäcken för att hålla sig torr.,,
,,She learned how to bake bread last month.,Geçen ay ekmek yapmayı öğrendi.,Hon lärde sig att baka bröd förra månaden.,,
,,She answered all the emails before leaving.,O ayrılmadan önce tüm e-postaları cevapladı.,Hon besvarade alla mejl innan hon gick.,,
,,We stayed at a hotel by the sea.,Deniz kenarındaki bir otelde kaldık.,Vi bodde på ett hotell vid havet.,,
,,We looked at old photos and remembered the trip.,Eski fotoğraflara baktık ve geziyi hatırladık.,Vi tittade på gamla foton och mindes resan.,,
,,They arrived at the airport on time.,Havaalanına zamanında vardılar.,De anlände på flygplatsen i tid.,,
,,They enjoyed the music despite the crowd.,Kalabalığa rağmen müziğin tadını çıkardılar.,De njöt av musiken trots folkmassan.,,
,,I asked a question to clarify a point.,Bir noktayı netleştirmek için bir soru sordum.,Jag ställde en fråga för att förtydliga en punkt.,,
,,I walked my dog around the block.,Köpeğimi bloğun etrafında gezdirdim.,Jag rastade min hund runt kvarteret.,,
,,You surprised your parents with a phone call.,Ebeveynlerini bir telefonla şaşırttın.,Du överraskade dina föräldrar med ett telefonsamtal.,,
,,You spent an hour at the gym today.,Bugün spor salonunda bir saat geçirdin.,Du tillbringade en timme på gymmet idag.,,
,,He used a map because the signs were missing.,Bir harita kullandı çünkü levhalar eksikti.,Han använde en karta eftersom skyltarna saknades.,,
,,He played guitar for the guests.,O misafirler için gitar çaldı.,Han spelade gitarr för gästerna.,,
,,She used a soft cloth to clean her glasses.,"O, gözlüğünü temizlemek için yumuşak bir bez kullandı.",Hon använde en mjuk trasa för att putsa sina glasögon.,,
,,She turned off the lights before leaving.,Çıkmadan önce ışıkları kapattı.,Hon släckte lamporna innan hon gick.,,
,,We practiced English and compared our answers.,İngilizce pratik yaptık ve cevaplarımızı karşılaştırdık.,Vi övade engelska och jämförde våra svar.,,
,,We decided to try the new restaurant.,Yeni restoranı denemeye karar verdik.,Vi bestämde oss för att prova den nya restaurangen.,,
,,They bought groceries because the fridge was empty.,Buzdolabı boş olduğu için market alışverişi yaptılar.,De handlade mat eftersom kylskåpet var tomt.,,
,,They took the bus because driving the car was difficult.,Otobüse bindiler çünkü araba kullanmak zordu.,De tog bussen eftersom det var svårt att köra bilen.,,
